genes,weights
ENSMUSG00000097157,0.1
ENSMUSG00000035203,0.1
ENSMUSG00000109492,0.1
ENSMUSG00000025470,0.1
ENSMUSG00000104272,0.1
ENSMUSG00000006221,0.1
ENSMUSG00000086451,0.1
ENSMUSG00000093044,0.1
ENSMUSG00000114113,0.1
ENSMUSG00000082776,0.1
ENSMUSG00000042360,0.1
ENSMUSG00000107501,0.1
ENSMUSG00000026116,0.1
ENSMUSG00000085929,0.1
ENSMUSG00000045010,0.1
ENSMUSG00000114357,0.1
ENSMUSG00000022015,0.1
ENSMUSG00000013419,0.1
ENSMUSG00000106094,0.1
ENSMUSG00002074891,0.1
ENSMUSG00000077345,0.1
ENSMUSG00000027708,0.1
ENSMUSG00000021244,0.1
ENSMUSG00000045776,0.1
ENSMUSG00000118251,0.1
ENSMUSG00000029638,0.1
ENSMUSG00000047694,0.1
ENSMUSG00000103037,0.1
ENSMUSG00000111621,0.1
ENSMUSG00000009731,0.1
ENSMUSG00000083668,0.1
ENSMUSG00000110523,0.1
ENSMUSG00000020834,0.1
ENSMUSG00000032239,0.1
ENSMUSG00002076184,0.1
ENSMUSG00000109877,0.1
ENSMUSG00000114315,0.1
ENSMUSG00000023883,0.1
ENSMUSG00000002012,0.1
ENSMUSG00000058838,0.1
ENSMUSG00000111472,0.1
ENSMUSG00000101082,0.1
ENSMUSG00000023953,0.1
ENSMUSG00000034881,0.1
ENSMUSG00000071454,0.1
ENSMUSG00000031654,0.1
ENSMUSG00000102162,0.1
ENSMUSG00000005417,0.1
ENSMUSG00000032739,0.1
ENSMUSG00002075545,0.1
ENSMUSG00000085232,0.1
ENSMUSG00000107723,0.1
ENSMUSG00000088984,0.1
ENSMUSG00000026311,0.1
ENSMUSG00000046556,0.1
ENSMUSG00000113512,0.1
ENSMUSG00000073415,0.1
ENSMUSG00000111212,0.1
ENSMUSG00000027963,0.1
ENSMUSG00000099471,0.1
ENSMUSG00000054169,0.1
ENSMUSG00000027246,0.1
ENSMUSG00000104344,0.1
ENSMUSG00000107178,0.1
ENSMUSG00000032475,0.1
ENSMUSG00000005973,0.1
ENSMUSG00000004936,0.1
ENSMUSG00000022332,0.1
ENSMUSG00000083534,0.1
ENSMUSG00000045327,0.1
ENSMUSG00000046210,0.1
ENSMUSG00000111161,0.1
ENSMUSG00000083306,0.1
ENSMUSG00000055976,0.1
ENSMUSG00000028519,0.1
ENSMUSG00000086846,0.1
ENSMUSG00000062526,0.1
ENSMUSG00000034871,0.1
ENSMUSG00000108615,0.1
ENSMUSG00000014852,0.1
ENSMUSG00000105203,0.1
ENSMUSG00000039740,0.1
ENSMUSG00000114256,0.1
ENSMUSG00000086564,0.1
