genes,weights
ENSMUSG00000097525,0.15
ENSMUSG00000091983,0.15
ENSMUSG00000031887,0.15
ENSMUSG00000108072,0.15
ENSMUSG00000084883,0.15
ENSMUSG00000105715,0.15
ENSMUSG00000038775,0.15
ENSMUSG00000032985,0.15
ENSMUSG00000081800,0.15
ENSMUSG00000081548,0.15
ENSMUSG00000105336,0.15
ENSMUSG00000083879,0.15
ENSMUSG00000107813,0.15
ENSMUSG00000022248,0.15
ENSMUSG00000091123,0.15
ENSMUSG00000072902,0.15
ENSMUSG00000113459,0.15
ENSMUSG00000029816,0.15
ENSMUSG00000058057,0.15
ENSMUSG00000112039,0.15
ENSMUSG00000042540,0.15
ENSMUSG00000117648,0.15
ENSMUSG00000081585,0.15
ENSMUSG00000104735,0.15
ENSMUSG00000007837,0.15
ENSMUSG00000118593,0.15
ENSMUSG00000096168,0.15
ENSMUSG00000089646,0.15
ENSMUSG00000113930,0.15
ENSMUSG00000118094,0.15
ENSMUSG00000077890,0.15
ENSMUSG00000088868,0.15
ENSMUSG00000114369,0.15
ENSMUSG00000031074,0.15
ENSMUSG00000107535,0.15
ENSMUSG00000089879,0.15
ENSMUSG00000040118,0.15
ENSMUSG00000092323,0.15
ENSMUSG00000115130,0.15
ENSMUSG00000088984,0.15
ENSMUSG00000107413,0.15
ENSMUSG00000098070,0.15
ENSMUSG00000078671,0.15
ENSMUSG00000093156,0.15
ENSMUSG00000100141,0.15
ENSMUSG00000001943,0.15
ENSMUSG00000108696,0.15
ENSMUSG00000068227,0.15
ENSMUSG00000119232,0.15
ENSMUSG00000095567,0.15
ENSMUSG00000114951,0.15
ENSMUSG00000112067,0.15
ENSMUSG00000098236,0.15
ENSMUSG00000084055,0.15
ENSMUSG00000108766,0.15
ENSMUSG00000025265,0.15
ENSMUSG00000030055,0.15
ENSMUSG00000038718,0.15
ENSMUSG00000073753,0.15
ENSMUSG00000063434,0.15
ENSMUSG00000038370,0.15
ENSMUSG00000083974,0.15
ENSMUSG00000109600,0.15
ENSMUSG00000109993,0.15
ENSMUSG00000067399,0.15
ENSMUSG00000113752,0.15
ENSMUSG00000115789,0.15
ENSMUSG00000031227,0.15
ENSMUSG00000113036,0.15
ENSMUSG00000073856,0.15
ENSMUSG00000097875,0.15
ENSMUSG00000092416,0.15
ENSMUSG00000026700,0.15
ENSMUSG00000089706,0.15
ENSMUSG00000093258,0.15
ENSMUSG00000003316,0.15
ENSMUSG00000008658,0.15
ENSMUSG00000074491,0.15
ENSMUSG00000115508,0.15
ENSMUSG00000111400,0.15
ENSMUSG00000115220,0.15
ENSMUSG00000108618,0.15
ENSMUSG00000085101,0.15
ENSMUSG00000083275,0.15
ENSMUSG00000074604,0.15
ENSMUSG00000108802,0.15
ENSMUSG00000086063,0.15
ENSMUSG00000086328,0.15
ENSMUSG00000105228,0.15
ENSMUSG00000097876,0.15
ENSMUSG00000044071,0.15
ENSMUSG00000051056,0.15
ENSMUSG00000025038,0.15
ENSMUSG00000029420,0.15
ENSMUSG00000090104,0.15
ENSMUSG00000112275,0.15
ENSMUSG00000104091,0.15
ENSMUSG00000026923,0.15
ENSMUSG00000061535,0.15
ENSMUSG00000021770,0.15
ENSMUSG00000024261,0.15
ENSMUSG00000093651,0.15
ENSMUSG00000113861,0.15
ENSMUSG00000105776,0.15
ENSMUSG00000098194,0.15
ENSMUSG00000073374,0.15
ENSMUSG00000081923,0.15
ENSMUSG00000022336,0.15
ENSMUSG00002076174,0.15
ENSMUSG00000024589,0.15
ENSMUSG00000106576,0.15
ENSMUSG00000026226,0.15
ENSMUSG00000090038,0.15
ENSMUSG00000074232,0.15
ENSMUSG00000096146,0.15
ENSMUSG00000000552,0.15
ENSMUSG00000034336,0.15
ENSMUSG00000043068,0.15
ENSMUSG00000063929,0.15
ENSMUSG00000083391,0.15
ENSMUSG00000031492,0.15
ENSMUSG00000091021,0.15
ENSMUSG00000108382,0.15
ENSMUSG00000081672,0.15
ENSMUSG00000113486,0.15
ENSMUSG00000112936,0.15
ENSMUSG00000108308,0.15
ENSMUSG00000108807,0.15
ENSMUSG00000113634,0.15
ENSMUSG00002076311,0.15
ENSMUSG00000100228,0.15
ENSMUSG00000115125,0.15
ENSMUSG00002076305,0.15
ENSMUSG00000094250,0.15
ENSMUSG00000109959,0.15
ENSMUSG00000099708,0.15
ENSMUSG00000097324,0.15
ENSMUSG00000101801,0.15
ENSMUSG00002076430,0.15
ENSMUSG00000074681,0.15
ENSMUSG00000106169,0.15
ENSMUSG00000055202,0.15
ENSMUSG00000083852,0.15
ENSMUSG00000116655,0.15
ENSMUSG00000101746,0.15
ENSMUSG00000085526,0.15
ENSMUSG00000109132,0.15
ENSMUSG00000001670,0.15
ENSMUSG00000037594,0.15
ENSMUSG00000032667,0.15
ENSMUSG00000081160,0.15
ENSMUSG00000004988,0.15
ENSMUSG00000041670,0.15
ENSMUSG00000104780,0.15
ENSMUSG00000110047,0.15
ENSMUSG00000108628,0.15
ENSMUSG00000082833,0.15
ENSMUSG00000065701,0.15
ENSMUSG00000108071,0.15
ENSMUSG00000096052,0.15
ENSMUSG00000095092,0.15
ENSMUSG00000078772,0.15
ENSMUSG00000075036,0.15
ENSMUSG00000039865,0.15
ENSMUSG00000035545,0.15
ENSMUSG00000027443,0.15
ENSMUSG00000096685,0.15
ENSMUSG00000108045,0.15
ENSMUSG00000116284,0.15
ENSMUSG00000089874,0.15
ENSMUSG00000114147,0.15
ENSMUSG00000108333,0.15
ENSMUSG00000092193,0.15
ENSMUSG00000082305,0.15
ENSMUSG00000044938,0.15
ENSMUSG00000002475,0.15
ENSMUSG00000084292,0.15
ENSMUSG00000081763,0.15
ENSMUSG00000052241,0.15
ENSMUSG00000020561,0.15
ENSMUSG00000090039,0.15
ENSMUSG00000085448,0.15
ENSMUSG00000077227,0.15
ENSMUSG00000082374,0.15
ENSMUSG00000118244,0.15
ENSMUSG00000066807,0.15
ENSMUSG00000106658,0.15
ENSMUSG00000015087,0.15
ENSMUSG00000097282,0.15
ENSMUSG00000079442,0.15
ENSMUSG00000116290,0.15
ENSMUSG00000112143,0.15
ENSMUSG00000020260,0.15
ENSMUSG00000039639,0.15
ENSMUSG00000029707,0.15
ENSMUSG00000106822,0.15
ENSMUSG00000081138,0.15
ENSMUSG00000109333,0.15
ENSMUSG00000115541,0.15
ENSMUSG00000107106,0.15
ENSMUSG00000106491,0.15
ENSMUSG00000085589,0.15
ENSMUSG00000027270,0.15
ENSMUSG00002075406,0.15
ENSMUSG00000110988,0.15
ENSMUSG00000016356,0.15
ENSMUSG00000106648,0.15
ENSMUSG00000101082,0.15
ENSMUSG00000113891,0.15
ENSMUSG00000059455,0.15
ENSMUSG00000110666,0.15
ENSMUSG00000108027,0.15
ENSMUSG00000075091,0.15
ENSMUSG00000000690,0.15
ENSMUSG00000082149,0.15
ENSMUSG00000078808,0.15
ENSMUSG00000112879,0.15
ENSMUSG00000076583,0.15
ENSMUSG00000073468,0.15
ENSMUSG00000102217,0.15
ENSMUSG00000103067,0.15
ENSMUSG00000083743,0.15
ENSMUSG00000097009,0.15
ENSMUSG00000109611,0.15
ENSMUSG00000074527,0.15
ENSMUSG00000062496,0.15
ENSMUSG00000106736,0.15
ENSMUSG00000106429,0.15
ENSMUSG00000047696,0.15
ENSMUSG00000114909,0.15
ENSMUSG00000090217,0.15
ENSMUSG00000106019,0.15
ENSMUSG00000096822,0.15
ENSMUSG00000031370,0.15
ENSMUSG00000093738,0.15
ENSMUSG00000101711,0.15
ENSMUSG00000083471,0.15
ENSMUSG00000027868,0.15
ENSMUSG00000053128,0.15
ENSMUSG00000084762,0.15
ENSMUSG00000029782,0.15
ENSMUSG00000081817,0.15
ENSMUSG00000110986,0.15
ENSMUSG00000111564,0.15
ENSMUSG00000106457,0.15
ENSMUSG00000118883,0.15
ENSMUSG00000097794,0.15
ENSMUSG00000115116,0.15
ENSMUSG00000010064,0.15
ENSMUSG00000082910,0.15
ENSMUSG00000086109,0.15
ENSMUSG00000073877,0.15
ENSMUSG00000040661,0.15
ENSMUSG00000086898,0.15
ENSMUSG00000090216,0.15
ENSMUSG00000105080,0.15
ENSMUSG00000007944,0.15
ENSMUSG00000087672,0.15
ENSMUSG00000081607,0.15
ENSMUSG00000112183,0.15
ENSMUSG00000092097,0.15
ENSMUSG00000027229,0.15
ENSMUSG00000102516,0.15
ENSMUSG00000106963,0.15
ENSMUSG00000036989,0.15
ENSMUSG00000114568,0.15
ENSMUSG00000082780,0.15
ENSMUSG00000108716,0.15
ENSMUSG00000112049,0.15
ENSMUSG00000069763,0.15
ENSMUSG00000005846,0.15
ENSMUSG00000091615,0.15
ENSMUSG00000115082,0.15
ENSMUSG00000109667,0.15
ENSMUSG00000087541,0.15
ENSMUSG00000053293,0.15
ENSMUSG00000097217,0.15
ENSMUSG00000079577,0.15
ENSMUSG00000111875,0.15
ENSMUSG00000001494,0.15
ENSMUSG00000088860,0.15
ENSMUSG00000115774,0.15
ENSMUSG00000020702,0.15
ENSMUSG00000039209,0.15
ENSMUSG00000100736,0.15
ENSMUSG00000103922,0.15
ENSMUSG00002075670,0.15
ENSMUSG00000092225,0.15
ENSMUSG00000052496,0.15
ENSMUSG00000081706,0.15
ENSMUSG00000106632,0.15
ENSMUSG00000116386,0.15
ENSMUSG00000102648,0.15
ENSMUSG00000115131,0.15
ENSMUSG00000110181,0.15
ENSMUSG00000048994,0.15
ENSMUSG00000021133,0.15
ENSMUSG00000104149,0.15
ENSMUSG00000020151,0.15
ENSMUSG00000114860,0.15
ENSMUSG00000032493,0.15
ENSMUSG00000091947,0.15
ENSMUSG00000112307,0.15
ENSMUSG00000083700,0.15
ENSMUSG00000020870,0.15
ENSMUSG00000105553,0.15
ENSMUSG00000084980,0.15
ENSMUSG00000097797,0.15
ENSMUSG00000081396,0.15
ENSMUSG00000115381,0.15
ENSMUSG00000106054,0.15
ENSMUSG00000066153,0.15
ENSMUSG00000000776,0.15
ENSMUSG00000110562,0.15
ENSMUSG00000090751,0.15
ENSMUSG00000106896,0.15
ENSMUSG00000031297,0.15
ENSMUSG00000061296,0.15
ENSMUSG00000092164,0.15
ENSMUSG00000029155,0.15
ENSMUSG00000109543,0.15
ENSMUSG00000071680,0.15
ENSMUSG00000084803,0.15
ENSMUSG00000112850,0.15
ENSMUSG00000115235,0.15
ENSMUSG00000106709,0.15
ENSMUSG00000111819,0.15
ENSMUSG00000046490,0.15
ENSMUSG00000110233,0.15
ENSMUSG00000032491,0.15
ENSMUSG00000112843,0.15
ENSMUSG00000085419,0.15
ENSMUSG00000039838,0.15
ENSMUSG00000119011,0.15
ENSMUSG00000024350,0.15
ENSMUSG00000028976,0.15
ENSMUSG00000070332,0.15
ENSMUSG00000084850,0.15
ENSMUSG00000107341,0.15
ENSMUSG00000112630,0.1
